DATE,CITY,ENERGY_GENERATED
2017-12-01,Bhopal,244.09
2018-01-01,Bhopal,285.38500000000005
2018-02-01,Bhopal,298.255
2018-03-01,Bhopal,367.225
2018-04-01,Bhopal,420.655
2018-05-01,Bhopal,442.975
2018-06-01,Bhopal,369.665
2018-07-01,Bhopal,262.90500000000003
2018-08-01,Bhopal,250.17
2018-09-01,Bhopal,291.67
2018-10-01,Bhopal,318.725
2018-11-01,Bhopal,272.985
2018-12-01,Bhopal,265.71000000000004
2019-01-01,Bhopal,280.325
2019-02-01,Bhopal,320.3
2019-03-01,Bhopal,388.81000000000006
2019-04-01,Bhopal,425.59
2019-05-01,Bhopal,450.055
2019-06-01,Bhopal,398.43
2019-07-01,Bhopal,296.92499999999995
2019-08-01,Bhopal,248.73
2019-09-01,Bhopal,226.485
2019-10-01,Bhopal,257.87
2019-11-01,Bhopal,249.995
2019-12-01,Bhopal,233.76
2020-01-01,Bhopal,248.77
2020-02-01,Bhopal,322.67
2020-03-01,Bhopal,353.93499999999995
2020-04-01,Bhopal,407.82
2020-05-01,Bhopal,448.8850000000001
2020-06-01,Bhopal,344.1700000000001
2020-07-01,Bhopal,338.59
2020-08-01,Bhopal,247.375
2020-09-01,Bhopal,297.87
2020-10-01,Bhopal,302.105
2020-11-01,Bhopal,268.97
2020-12-01,Bhopal,237.69
2021-01-01,Bhopal,253.99
2021-02-01,Bhopal,323.41
2021-03-01,Bhopal,369.785
2021-04-01,Bhopal,409.21
2021-05-01,Bhopal,402.445
2021-06-01,Bhopal,383.785
2021-07-01,Bhopal,305.11
2021-08-01,Bhopal,260.43
2021-09-01,Bhopal,264.32
2021-10-01,Bhopal,298.975
2021-11-01,Bhopal,268.055
2021-12-01,Bhopal,226.355
2022-01-01,Bhopal,249.86
2022-02-01,Bhopal,333.855
2022-03-01,Bhopal,373.955
2022-04-01,Bhopal,429.89
2022-05-01,Bhopal,437.275
2022-06-01,Bhopal,385.35
2022-07-01,Bhopal,263.21
2022-08-01,Bhopal,267.335
2022-09-01,Bhopal,281.22
2022-10-01,Bhopal,312.07
2022-11-01,Bhopal,278.25
2022-12-01,Bhopal,254.89
2023-01-01,Bhopal,265.23
2023-02-01,Bhopal,349.21500000000003
2023-03-01,Bhopal,329.195
2023-04-01,Bhopal,371.655
2023-05-01,Bhopal,422.815
2023-06-01,Bhopal,387.25
2023-07-01,Bhopal,291.565
2023-08-01,Bhopal,281.015
2023-09-01,Bhopal,283.315
2023-10-01,Bhopal,316.81
2023-11-01,Bhopal,240.22
2023-12-01,Bhopal,227.27
2024-01-01,Bhopal,226.975
2024-02-01,Bhopal,305.21
2024-03-01,Bhopal,371.97
2024-04-01,Bhopal,374.845
2024-05-01,Bhopal,421.635
2024-06-01,Bhopal,347.79
2024-07-01,Bhopal,263.285
2024-08-01,Bhopal,253.955
2024-09-01,Bhopal,271.21
2024-10-01,Bhopal,288.37
2024-11-01,Bhopal,259.97
2024-12-01,Bhopal,247.19
2016-01-01,Chennai,304.92
2016-02-01,Chennai,354.475
2016-03-01,Chennai,393.91
2016-04-01,Chennai,449.775
2016-05-01,Chennai,384.75
2016-06-01,Chennai,313.475
2016-07-01,Chennai,342.955
2016-08-01,Chennai,338.685
2016-09-01,Chennai,296.56
2016-10-01,Chennai,310.59
